t,Q,P,Bar,Eta
2025-07-24 15:00:00,-4.3299999999999995e-05,0.0,32.3952,-0.0
2025-07-24 15:15:00,-4.36e-05,0.0,32.4375,-0.0
2025-07-24 15:30:00,-4.51e-05,0.0,32.4697,-0.0
2025-07-24 15:45:00,-4.48e-05,0.0,32.5291,-0.0
2025-07-24 16:00:00,-4.34e-05,0.0,32.6264,-0.0
2025-07-24 16:15:00,-4.21e-05,0.0,32.6358,-0.0
2025-07-24 16:30:00,-4.24e-05,0.0,32.6676,-0.0
2025-07-24 16:45:00,-4.2999999999999995e-05,0.0,32.4463,-0.0
2025-07-24 17:00:00,-4.46e-05,0.0,32.3647,-0.0
2025-07-24 17:15:00,0.0035078,8.8347,32.1253,0.7837026738278706
2025-07-24 17:30:00,0.0217374,56.9934,31.1675,0.8409235949815728
2025-07-24 17:45:00,0.0281152,74.3538,30.7174,0.86063514307978
2025-07-24 18:00:00,0.0276422,72.6629,30.7118,0.8556110571361809
2025-07-24 18:15:00,0.022859,59.4407,30.8351,0.842990856101316
2025-07-24 18:30:00,0.0241413,62.7447,30.7339,0.8453572036066099
2025-07-24 18:45:00,0.0189513,47.3792,30.8036,0.8113136428961409
2025-07-24 19:00:00,0.013872500000000001,33.1823,30.9693,0.7720792848607119
2025-07-24 19:15:00,0.0170249,42.4166,30.9105,0.8057249114272248
2025-07-24 19:30:00,0.0216129,55.3177,30.7321,0.8325309169278607
2025-07-24 19:45:00,0.0163857,39.4372,30.9923,0.7762986016234669
2025-07-24 20:00:00,-4.7300000000000005e-05,0.0,31.5999,-0.0
2025-07-24 20:15:00,0.0123494,30.7995,31.2622,0.7974800157609853
2025-07-24 20:30:00,0.0151462,36.3233,30.8108,0.7780726917261648
2025-07-24 20:45:00,0.0043037,8.4748,31.1518,0.6318963682508515
2025-07-24 21:00:00,-4.62e-05,0.0,31.2849,-0.0
2025-07-24 21:15:00,0.0179323,44.5371,30.6426,0.8102179572993898
2025-07-24 21:30:00,0.0135452,31.7019,31.0826,0.7527037291840779
2025-07-24 21:45:00,0.014557,34.8056,31.0927,0.7687061289025956
2025-07-24 22:00:00,0.0208675,53.1274,30.8934,0.8238041401359104
2025-07-24 22:15:00,0.0256436,66.4338,30.8115,0.8405020878768662
2025-07-24 22:30:00,0.0304427,78.9036,30.6342,0.8457629274064556
2025-07-24 22:45:00,0.0277108,71.3655,30.7754,0.8365214472695102
2025-07-24 23:00:00,0.0250705,63.3635,30.6887,0.823264158693084
2025-07-24 23:15:00,0.020508400000000003,50.8763,30.8066,0.804973360045426
2025-07-24 23:30:00,0.0239191,60.4368,30.7318,0.8218833191033164
2025-07-24 23:45:00,0.0281519,71.6726,30.5558,0.8329008913481756
2025-07-25 00:00:00,0.0237062,59.3224,30.7556,0.8133436912931397
2025-07-25 00:15:00,0.0242651,61.1459,30.7207,0.8199657013035134
2025-07-25 00:30:00,0.0297353,75.4521,30.5291,0.8308574975346406
2025-07-25 00:45:00,0.028917,74.0375,30.8041,0.8308670255647392
2025-07-25 01:00:00,0.036014000000000004,93.0179,30.66,0.8421017255275061
2025-07-25 01:15:00,0.041415799999999996,105.556,30.2957,0.840964020740936
2025-07-25 01:30:00,0.0418112,106.4282,30.3168,0.8393097412372097
2025-07-25 01:45:00,0.039769599999999995,102.8302,30.7257,0.8412192633974667
2025-07-25 02:00:00,0.0433078,111.6284,30.6449,0.8407984577525023
2025-07-25 02:15:00,0.0470135,118.4314,30.0651,0.8375739542825468
2025-07-25 02:30:00,0.0475363,118.3978,29.787,0.8358590123269208
2025-07-25 02:45:00,0.0452514,113.2339,29.9945,0.8339583399702811
2025-07-25 03:00:00,0.038533700000000004,97.7707,30.5202,0.8310404725776954
2025-07-25 03:15:00,0.031162500000000003,79.1528,30.7892,0.8246641661569963
2025-07-25 03:30:00,0.0366454,93.9083,30.628,0.8363872643179345
2025-07-25 03:45:00,0.041798499999999995,106.9495,30.5859,0.8362542442919177
2025-07-25 04:00:00,0.0416487,105.4552,30.3472,0.8340449558820203
2025-07-25 04:15:00,0.0340967,86.6134,30.7094,0.8268808705238728
2025-07-25 04:30:00,0.0304219,77.616,30.8211,0.8274815623868114
2025-07-25 04:45:00,0.037364600000000005,95.5237,30.5996,0.8351732711568574
2025-07-25 05:00:00,0.0384964,97.8381,30.5413,0.8318440420928664
2025-07-25 05:15:00,0.0312904,79.198,30.7126,0.8238118854137808
2025-07-25 05:30:00,0.0250738,62.4507,30.7763,0.8089883807707385
2025-07-25 05:45:00,0.0287026,72.3448,30.6764,0.8213404788784211
2025-07-25 06:00:00,0.0309057,77.7602,30.5717,0.8226985513893791
2025-07-25 06:15:00,0.023630500000000002,58.6008,30.7921,0.8050685530222917
2025-07-25 06:30:00,0.0237933,59.2244,30.7715,0.8086095375848016
2025-07-25 06:45:00,0.0274358,68.5773,30.6274,0.815819648607271
2025-07-25 07:00:00,0.0221098,54.485,30.8708,0.7979685858127056
2025-07-25 07:15:00,0.026135000000000002,66.0349,30.8785,0.817968091327354
2025-07-25 07:30:00,0.0324587,81.7921,30.5006,0.8258732347636369
2025-07-25 07:45:00,0.0273166,68.3067,30.7497,0.8129003593689691
2025-07-25 08:00:00,0.021727299999999998,53.5771,30.8224,0.799739463334866
2025-07-25 08:15:00,0.024461300000000002,60.2572,30.5215,0.8067984909825341
2025-07-25 08:30:00,0.0171604,40.2207,30.801,0.7606746418951846
2025-07-25 08:45:00,0.0033496000000000003,7.2744,31.0719,0.6986794298249842
2025-07-25 09:00:00,-4.82e-05,0.0,32.2896,-0.0
2025-07-25 09:15:00,-5.05e-05,0.0,32.2761,-0.0
2025-07-25 09:30:00,-4.88e-05,0.0,32.1812,-0.0
2025-07-25 09:45:00,-4.75e-05,0.0,32.263,-0.0
2025-07-25 10:00:00,-4.75e-05,0.0,32.2556,-0.0
2025-07-25 10:15:00,-4.85e-05,0.0,32.0287,-0.0
2025-07-25 10:30:00,-4.66e-05,0.0,31.9786,-0.0
2025-07-25 10:45:00,-4.8e-05,0.0,31.9362,-0.0
2025-07-25 11:00:00,-4.49e-05,0.0,32.2799,-0.0
2025-07-25 11:15:00,-4.32e-05,0.0,32.3243,-0.0
2025-07-25 11:30:00,0.00013309999999999998,0.3642,32.3165,0.8464067235145599
2025-07-25 11:45:00,0.0202997,52.713,31.2057,0.8318321893158651
2025-07-25 12:00:00,0.029861699999999998,77.5066,30.2734,0.8570467180381371
2025-07-25 12:15:00,0.0260902,65.9326,30.3129,0.83336804663694
2025-07-25 12:30:00,0.0217354,53.5663,30.6524,0.8037131340283976
2025-07-25 12:45:00,0.0149605,35.0038,30.9243,0.756328986245541
2025-07-25 13:00:00,0.0237928,59.3849,30.5815,0.8158554698401019
2025-07-25 13:15:00,0.0271919,67.1798,30.1721,0.8185310362182543
2025-07-25 13:30:00,0.0200882,48.5836,30.665,0.7884011286693621
2025-07-25 13:45:00,0.0143809,32.9118,30.8788,0.7408779879291556
2025-07-25 14:00:00,0.0146502,33.5368,30.8602,0.7415165840598876
2025-07-25 14:15:00,0.0138016,31.0947,30.8923,0.7290347477488942
2025-07-25 14:30:00,0.013742599999999999,31.129,30.9006,0.7327754128921002
2025-07-25 14:45:00,0.0138741,31.7022,31.144,0.7334182758570913
