t,Q,P,Bar,Eta
2025-07-24 15:02:38,0.05971844,129.3847,27.28074,0.7938891377275864
2025-07-24 15:17:38,0.059214300000000004,128.5592,27.22805,0.797079353024179
2025-07-24 15:32:38,0.06031911,128.995,27.15538,0.7872335690142488
2025-07-24 15:47:38,0.06027084,130.5252,27.21352,0.7955068803323039
2025-07-24 16:02:38,0.058479550000000005,127.0475,27.27347,0.7962752961898216
2025-07-24 16:17:38,0.0595629,129.5314,27.23168,0.7983003642022909
2025-07-24 16:32:38,0.059498550000000004,129.1109,27.24077,0.7963036101194666
2025-07-24 16:47:38,0.05950928,129.1142,27.24258,0.7961274812768832
2025-07-24 17:02:38,0.05260157,114.9313,27.46968,0.7951106114898684
2025-07-24 17:17:38,0.05264983,115.0137,27.46241,0.795161771437773
2025-07-24 17:32:38,0.0523495,114.6129,27.4715,0.7966730526696428
2025-07-24 17:47:38,0.052333410000000004,113.608,27.50783,0.7888875210630035
2025-07-24 18:02:38,0.05135732,112.2281,27.50238,0.7942743116092179
2025-07-24 18:17:38,0.05415151,119.276,27.26802,0.8074774979413402
2025-07-24 18:32:38,0.05968626,129.4053,27.22441,0.7960874149293955
2025-07-24 18:47:38,0.058860340000000004,128.0123,27.25167,0.7977693565239378
2025-07-24 19:02:38,0.02043352,38.5416,28.38897,0.6641687753389169
2025-07-24 19:17:38,0.013010949999999999,21.49875,28.44166,0.5807521130453526
2025-07-24 19:32:38,0.017891400000000002,33.67834,28.4253,0.6619768960893101
2025-07-24 19:47:38,0.040609610000000004,91.02592,27.72585,0.808151766371588
2025-07-24 20:02:38,0.0169743,31.80422,28.41986,0.6590410684480357
2025-07-24 20:17:38,0.08455508,177.7828,26.17795,0.8028898001473984
2025-07-24 20:32:38,0.06581095000000001,140.1272,27.01367,0.7879201939780274
2025-07-24 20:47:38,0.06566615,140.4738,27.01912,0.7914511486977761
2025-07-24 21:02:38,0.06556961,140.1412,27.02457,0.7905802786010971
2025-07-24 21:17:38,0.06540872,140.1311,27.03547,0.7921482994711262
2025-07-24 21:32:38,0.06526928,140.2512,27.03729,0.794467511450931
2025-07-24 21:47:38,0.06515129,140.4147,27.04092,0.796727176721122
2025-07-24 22:02:38,0.06560715,140.1685,27.02639,0.7902286143921948
2025-07-24 22:17:38,0.06526392,140.2578,27.01367,0.7952648989822905
2025-07-24 22:32:38,0.06511911000000001,140.447,27.04274,0.7972506012393222
2025-07-24 22:47:38,0.06515665,140.451,27.05182,0.7965465060895122
2025-07-24 23:02:38,0.06506010999999999,140.3519,27.03729,0.7975940053840186
2025-07-24 23:17:38,0.06384268,137.3828,27.09179,0.7940083887639533
