t,Q,P,Bar,Eta
2025-07-24 15:15:00,1.9736,207.8169,1.4409,0.7305154775204326
2025-07-24 15:30:00,1.976,207.9835,1.4436,0.7288473955087045
2025-07-24 15:45:00,1.9779,207.5709,1.445,0.725998675363498
2025-07-24 16:00:00,1.9776,208.0054,1.4447,0.7277798398252981
2025-07-24 16:15:00,1.9777,208.19,1.4444,0.728540181127715
2025-07-24 16:30:00,1.9792,208.1519,1.443,0.7285609729874739
2025-07-24 16:45:00,1.9768,208.0859,1.4446,0.7284065589842403
2025-07-24 17:00:00,1.9861,207.9703,1.4398,0.7270086449565576
2025-07-24 17:15:00,1.9821,207.7117,1.4404000000000001,0.7272669023745739
2025-07-24 17:30:00,1.9832,207.5275,1.4386999999999999,0.7270770466315796
2025-07-24 17:45:00,1.9798,207.1858,1.441,0.7259659030788899
2025-07-24 18:00:00,1.9832,207.1075,1.4379,0.7260092705624586
2025-07-24 18:15:00,1.9804,206.8526,1.4393,0.725434621448832
2025-07-24 18:30:00,1.977,207.0187,1.4369,0.7284804486635754
2025-07-24 18:45:00,1.9819,206.9563,1.4406999999999999,0.7245442179765753
2025-07-24 19:00:00,1.9829,206.7664,1.4377,0.725024058985035
2025-07-24 19:15:00,1.9813,206.7887,1.4385999999999999,0.7252338141763929
2025-07-24 19:30:00,1.9795,207.0619,1.4426,0.7248369067179083
2025-07-24 19:45:00,1.9779,207.0869,1.4378,0.7279329105630122
2025-07-24 20:00:00,1.984,206.7896,1.4437,0.7216915267202971
2025-07-24 20:15:00,1.9792,206.7365,1.4418000000000002,0.7242091265076532
2025-07-24 20:30:00,1.9793,206.679,1.4407,0.7245238867150989
2025-07-24 20:45:00,1.9784,206.9635,1.4427,0.7248450251483703
2025-07-24 21:00:00,1.9782,207.6393,1.4476,0.7248235937420482
2025-07-24 21:15:00,1.9784,207.517,1.443,0.726632441081986
2025-07-24 21:30:00,1.9772,207.4213,1.4451,0.7256820595607821
2025-07-24 21:45:00,1.9767,207.8734,1.4494,0.7252895792912153
2025-07-24 22:00:00,1.9734,207.7423,1.4474,0.7270474924003208
2025-07-24 22:15:00,1.975,207.9249,1.447,0.7272980240867803
2025-07-24 22:30:00,1.9743,207.9629,1.4458000000000002,0.7282928335779567
2025-07-24 22:45:00,1.9754,207.8797,1.4491,0.7259391406503805
2025-07-24 23:00:00,1.9764,207.9149,1.448,0.7262459844418594
2025-07-24 23:15:00,1.9732,208.2309,1.4473,0.7288816970372622
2025-07-24 23:30:00,1.9716,207.6389,1.4491,0.7264957717487165
2025-07-24 23:45:00,1.9741,207.5171,1.4457,0.7268555277066863
2025-07-25 00:00:00,1.966,207.4453,1.4435,0.7307096375478878
2025-07-25 00:15:00,1.9701,207.3014,1.4486999999999999,0.7260675735701564
2025-07-25 00:30:00,1.9737,206.8765,1.4433,0.7259637658338168
2025-07-25 00:45:00,1.9683,206.7803,1.4425999999999999,0.7279699933482674
2025-07-25 01:00:00,1.9696,206.865,1.4481,0.7250233036926108
2025-07-25 01:15:00,1.9637,206.7189,1.4447,0.7283982771615134
2025-07-25 01:30:00,1.9655,206.7466,1.4433,0.7285347200072594
2025-07-25 01:45:00,1.9603,206.847,1.4453,0.7298106915594368
2025-07-25 02:00:00,1.9645,206.5352,1.4485,0.7255462208452148
2025-07-25 02:15:00,1.9639,206.4332,1.4461000000000002,0.7266133720254015
2025-07-25 02:30:00,1.9655,206.5001,1.4462000000000002,0.7262069458545927
2025-07-25 02:45:00,1.9646,206.8478,1.4455,0.7281153853228334
2025-07-25 03:00:00,1.9614,206.634,1.4477,0.7274423397113979
2025-07-25 03:15:00,1.9627,206.7876,1.4487,0.7269987224300702
2025-07-25 03:30:00,1.9582,206.497,1.4496,0.7271936158747142
